id,,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
LOURDES,,Brgy. Lourdes,Medium,3.12,4523,0.089984524,38,28,10,14.6258265,121.0021126
LOYOLA_HEIGHTS,,Brgy. Loyola Heights,Low,0.96,21140,0.155865658,176,114,62,14.63830397,121.0739516
MAHARLIKA,,Brgy. Maharlika,Medium,2.87,4349,0.322832835,36,27,9,14.63338764,120.996748
MALAYA,,Brgy. Malaya,Medium,0.438,2605,0.012284069,22,16,6,14.63599851,121.0555432
MANGGA,,Brgy. Mangga,Low,1.117,11967,0.224534502,8,5,3,14.62562661,121.0620108
MANRESA,,Brgy. Manresa,Medium,4.32,17224,0.086565258,143,107,36,14.6415392,121.0007527
MARIANA,,Brgy. Mariana,Medium,3.218,11967,0.070193031,100,75,25,14.61898561,121.0333129
MARIBLO,,Brgy. Mariblo,Low,0.791,3433,0.477133702,29,19,10,14.63464313,121.0158518
MARILAG,,Brgy. Marilag,Low,0.81,12555,0.064755078,104,68,36,14.62550739,121.069958
MASAGANA,,Brgy. Masagana,Low,1.274,4166,0.381421027,35,23,12,14.61843938,121.0668343
MASAMBONG,,Brgy. Masambong,Medium,4.197,8800,0.704659091,73,55,18,14.64212716,121.008637
MATANDANG_BALARA,,Brgy. Matandang Balara,Medium,4.819,69475,0.063145016,578,434,144,14.67044973,121.0809336
MILAGROSA,,Brgy. Milagrosa,Low,0.912,6775,0.115719557,56,36,20,14.62059779,121.0697722
NS_AMORANTO,,Brgy. N. S. Amoranto,Medium,3.16,5952,0.135584677,50,38,12,14.63241032,120.9935736
NAGKAISANG_NAYON,,Brgy. Nagkaisang Nayon,Medium,2.812,53781,0.145348729,448,336,112,14.71888101,121.0250878
NAYONG_KANLURAN,,Brgy. Nayong Kanluran,Medium,4.819,2456,0.165309446,20,15,5,14.64013017,121.024885
NEW_ERA,,Brgy. New Era,Medium,2.121,14105,0.2067352,117,88,29,14.66415345,121.0601573
NORTH_FAIRVIEW,,Brgy. North Fairview,Low,0.73,44408,0.081021438,370,240,130,14.71257175,121.0611248
NOVALICHES_PROPER,,Brgy. Novaliches Proper,Medium,3.812,15468,0.278122576,129,97,32,14.72064347,121.0374359
OBRERO,,Brgy. Obrero,Medium,2.873,9500,0.134421053,79,59,20,14.62828039,121.0297484
OLD_CAPITOL_SITE,,Brgy. Old Capitol Site,Medium,3.87,1319,0.018195603,11,8,3,14.65034605,121.0528087
PAANG_BUNDOK,,Brgy. Paang Bundok,Low,1,4806,0.002496879,40,26,14,14.6281223,120.9919778
PAG_IBIG_SA_NAYON,,Brgy. Pag-Ibig sa Nayon,Medium,2.24,5918,0.04782021,49,37,12,14.64708319,120.996701
PALIGSAHAN,,Brgy. Paligsahan,Medium,2.7,3518,0.064809551,29,22,7,14.63237915,121.0227965
PALTOK,,Brgy. Paltok,Medium,2.223,18124,0.210825425,151,113,38,14.64355619,121.0229969
PANSOL,,Brgy. Pansol,Medium,3.4,35254,0.058716741,293,220,73,14.65680508,121.0827832
PARAISO,,Brgy. Paraiso,Medium,4.564,3537,0.156629912,29,22,7,14.6378562,121.0175495
PASONG_PUTIK_PROPER,,Brgy. Pasong Putik Proper,Medium,1.72,39896,0.028749749,332,249,83,14.74035228,121.095712
PASONG_TAMO,,Brgy. Pasong Tamo,Medium,2.43,110738,0.113556322,921,691,230,14.68145912,121.0587009
PAYATAS,,Brgy. Payatas,Medium,3.58,139740,0.021497066,1163,872,291,14.71152632,121.1006512
PHILAM,,Brgy. Philam,Medium,2.472,2524,0.169572108,21,16,5,14.64938705,121.0309825
PINAGKAISAHAN,,Brgy. Pinagkaisahan,Medium,3.564,4366,0.17338525,36,27,9,14.62600533,121.0442133
PINYAHAN,,Brgy. Pinyahan,Medium,4.3,21868,0.022178526,182,136,46,14.63789542,121.0470557
PROJECT_6,,Brgy. Project 6,Medium,2.77,11899,0.118077149,99,74,25,14.65663659,121.0407057
QUIRINO_2A,,Brgy. Quirino 2-A,Medium,3.2,4622,0.320424059,38,28,10,14.63039777,121.0590742
QUIRINO_2B,,Brgy. Quirino 2-B,Medium,2.42,3938,0.170644997,33,25,8,14.63225908,121.0618405
QUIRINO_2C,,Brgy. Quirino 2-C,Medium,4.25,3189,0.212605833,27,20,7,14.63474852,121.063051
QUIRINO_3A,,Brgy. Quirino 3-A,Medium,2.74,1070,0.330841121,9,7,2,14.62866043,121.0636062
QUIRINO_3B,,Brgy. Quirino 3-B,Medium,3.84,3885,0.410810811,32,27,5,14.63158245,121.0645363
RAMON_MAGSAYSAY,,Brgy. Ramon Magsaysay,Medium,4.03,14321,0.0525103,119,89,30,14.65911599,121.0226855
ROXAS,,Brgy. Roxas,High,4.953,10670,0.313964386,89,67,22,14.62762836,121.0218711
